"","gene.symbol","organ.specificity.list"
"1342","MYO5A","Skin;Brain/Cognition;Eye;Hair/Nails"
"1343","EZH2","Skeleton;Brain/Cognition"
"1344","GLMN","Heart/Cardiovasculature/Lymphatic"
"1345","COL4A4","Eye: Cornea;Kidney Renal Tract;Eye: Physiology;Eye: Lens;Eye;Ear"
"1346","TK2","Endocrine/Metabolic;Brain/Cognition"
"1347","ETFB","Endocrine/Metabolic;Brain/Cognition"
"1348","UTP4","GI tract"
"1349","TXNL4A","Face;Heart/Cardiovasculature/Lymphatic"
"1350","ITGA8","Kidney Renal Tract"
"1351","ORC6","Skeleton;Brain/Cognition;Ear"
"1352","POU1F1","Endocrine/Metabolic"
"1353","ENTPD1","Brain/Cognition"
"1354","ERCC1","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition;Eye"
"1355","EFNB1","Face;Skeleton"
"1356","CC2D1A","Brain/Cognition"
"1357","UBR7","Endocrine;Brain/Cognition"
"1358","DDX59","Face;Skeleton;GI tract"
"1359","NDUFB11","Endocrine/Metabolic;Eye"
"1360","GM2A","Endocrine/Metabolic;Brain/Cognition"
"1361","MCOLN1","Endocrine/Metabolic;Brain/Cognition;Eye;GI tract"
"1362","ERF","Face;Skeleton,Skeleton;Face;Respiratory tract"
"1363","EDNRA","Face;Hair/Nails"
"1364","DYM","Skeleton;Brain/Cognition"
"1365","TRIM37","Musculature;Brain/Cognition;Eye;GI tract"
"1366","AKR1D1","Endocrine/Metabolic;GI tract"
"1367","RANBP2","Brain/Cognition"
"1368","SCRIB","Brain/Cognition;Eye"
"1369","PGAP3","Endocrine/Metabolic;Brain/Cognition"
"1370","SPTLC2","Peripheral nerves"
"1371","H4C2","Brain/Cognition"
"1372","ACADVL","Endocrine/Metabolic"
"1373","PCCB","Endocrine/Metabolic;Brain/Cognition"
"1374","FOXP3","Bone Marrow/Immune;Skin;Endocrine/Metabolic;GI tract;Brain/Cognition"
"1375","NOTCH3","Skin;GI tract"
"1376","BSND","Kidney Renal Tract;Ear"
"1377","COX6B1","Musculature;Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1378","PALB2","Bone Marrow/Immune;Skeleton"
"1379","DYNC2I2","Skeleton"
"1380","VIP","Brain/Cognition"
"1381","PGM3","Bone Marrow/Immune;Skeleton"
"1382","SUCLG1","Endocrine/Metabolic;Brain/Cognition"
"1383","INPP4A","Brain/Cognition"
"1384","SLC31A1","Brain/Cognition"
"1385","FANCI","Bone Marrow/Immune;Skeleton;Cancer predisposition"
"1386","CSTB","Brain/Cognition"
"1387","TH","Brain/Cognition"
"1388","MAGT1","Brain/Cognition"
"1389","CCDC65","Respiratory tract"
"1390","DRC1","Respiratory tract"
"1391","RAD50","Bone Marrow/Immune;Brain/Cognition"
"1392","RNASEH2C","Skin;Brain/Cognition"
"1393","CCDC40","Unknown"
"1394","PYCR2","Brain/Cognition"
"1395","FANCL","Bone Marrow/Immune;Skeleton;Cancer predisposition"
"1396","SBDS","Bone Marrow/Immune;Endocrine/Metabolic"
"1397","RTTN","Brain/Cognition"
"1398","IGF1","Skeleton;Brain/Cognition;Ear"
"1399","FRAS1","Skin;Eye;Respiratory tract;Heart/Cardiovasculature/Lymphatic"
"1400","SNX14","Brain/Cognition"
"1401","PDGFRB","Musculature;Skin;Skeleton,Unknown,Brain/Cognition"
"1402","NSD1","Face;Skeleton;Brain/Cognition"
"1403","SPRTN","Bone Marrow/Immune;Cancer predisposition"
"1404","SALL4","Skeleton;GI tract;Eye;Musculature;Kidney Renal Tract;Eye: Lens;Eye: Structure;Ear;Eye: Optic nerve;Heart/Cardiovasculature/Lymphatic"
"1405","GATM","Endocrine/Metabolic;Brain/Cognition"
"1406","AHDC1","Brain/Cognition"
"1407","DDOST","Endocrine/Metabolic;Brain/Cognition"
"1408","ENPP1","Heart/Cardiovasculature/Lymphatic"
"1409","RAB18","Brain/Cognition;Eye;Genitalia"
"1410","CHRNA1","Musculature;Spinal cord/Peripheral nerves"
"1411","MFRP","Eye"
"1412","CDKL5","Brain/Cognition"
"1413","KCNB1","Brain/Cognition"
"1414","PSAP","Endocrine/Metabolic;Brain/Cognition"
"1415","GMPPA","Endocrine/Metabolic;Brain/Cognition"
"1416","EEF1A2","Brain/Cognition"
"1417","TPP1","Endocrine/Metabolic;Brain/Cognition"
"1418","PIEZO2","Musculature;Eye;Respiratory tract,Musculature;Skeleton"
"1419","ZBTB20","Brain/Cognition"
"1420","EOMES","Brain/Cognition"
"1421","VIPAS39","Kidney Renal Tract;Skeleton;Spinal cord/Peripheral nerves;GI tract"
"1422","CISD2","Endocrine;Endocrine/Metabolic;Brain/Cognition;GI tract;Eye: Optic nerve;Ear"
"1423","SCN8A","Brain/Cognition"
"1424","DDX11","Bone Marrow/Immune;Skin;Brain/Cognition"
"1425","TSEN54","Brain/Cognition"
"1426","FOXRED1","Endocrine/Metabolic;Brain/Cognition"
"1427","POLR1A","Face;Skeleton"
"1428","GALNS","Skeleton;Endocrine/Metabolic;Brain/Cognition"
"1429","COG8","Endocrine/Metabolic;Brain/Cognition"
"1430","PLOD1","Eye: Cornea;Skin;Eye: Retina;Skeleton;Eye: Connective tissue"
"1431","POC1A","Skeleton"
"1432","UQCRB","Endocrine/Metabolic;Brain/Cognition"
"1433","SHANK1","Brain/Cognition"
"1434","DMD","Musculature;Brain/Cognition"
"1435","HYDIN","GI tract;Respiratory tract;Heart/Cardiovasculature/Lymphatic"
"1436","TCTN3","Skeleton"
"1437","KIF22","Skeleton"
"1438","NDUFA1","Endocrine/Metabolic;Brain/Cognition"
"1439","GLIS2","Kidney Renal Tract"
"1440","ASXL1","Face;Brain/Cognition"
"1441","TBR1","Brain/Cognition"
"1442","CREBBP","Skeleton;Brain/Cognition"
"1443","GPC3","Face;Skeleton;Heart/Cardiovasculature/Lymphatic"
"1444","SHOC2","Skin;Skeleton;Multisystem"
"1445","TSC2","Skin;Kidney Renal Tract;Brain/Cognition"
"1446","EIF2AK3","Skeleton;Endocrine/Metabolic;Brain/Cognition;GI tract"
"1447","ACTG1","Brain/Cognition;Eye"
"1448","RECQL4","Bone Marrow/Immune;Skin;Skeleton;Eye"
"1449","AIFM1","Endocrine/Metabolic;Brain/Cognition"
"1450","PSAT1","Brain/Cognition"
"1451","HLCS","Endocrine/Metabolic"
"1452","ZMYND11","Face;Brain/Cognition"
"1453","USB1","Bone Marrow/Immune;Skin;Skeleton"
"1454","STAT2","Multisystem;Brain/Cognition,Bone Marrow/Immune;Brain/Cognition"
"1455","RIN2","Skin;Skeleton;Brain/Cognition"
"1456","HACE1","Brain/Cognition"
"1457","KIAA0586","Brain/Cognition"
"1458","MMP21","GI tract;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1459","PRMT7","Skeleton;Brain/Cognition"
"1460","SCN3A","Brain/Cognition"
"1461","AHI1","Kidney Renal Tract;Eye: Retina;Brain/Cognition"
"1462","MAPRE2","Bone Marrow/Immune;Skin;Skeleton;Face"
"1463","MECOM","Bone Marrow/Immune;Skeleton"
"1464","HOXA11","Bone Marrow/Immune;Skeleton"
"1465","SCYL1","Peripheral nerves;GI tract;Brain/Cognition"
"1466","COL13A1","Musculature;Peripheral nerves"
"1467","SLC39A8","Brain/Cognition"
"1468","GMNN","Skeleton;Brain/Cognition;Ear"
"1469","TAF1","Face;Brain/Cognition"
"1470","TERT","Bone Marrow/Immune;Skin;Skeleton;Brain/Cognition"
"1471","PARN","Bone Marrow/Immune;Skin;Skeleton;Brain/Cognition"
"1472","TINF2","Bone Marrow/Immune;Skin;Skeleton;GI tract;Brain/Cognition"
"1473","TPM2","Musculature"
"1474","TCN2","Endocrine/Metabolic;Brain/Cognition"
"1475","CLIC2","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1476","TERC","Bone Marrow/Immune"
"1477","TRAIP","Skeleton;Brain/Cognition"
"1478","COL6A3","Unknown"
"1479","ADGRG6","Unknown"
"1480","XYLT2","Kidney Renal Tract;Skeleton;Eye: Retina;Eye: Lens;Brain/Cognition;Ear;Heart/Cardiovasculature/Lymphatic"
"1481","SPARC","Unknown"
"1482","UBE2T","Unknown"
"1483","TBX18","Unknown"
"1484","THOC2","Unknown"
"1485","ZIC1","Unknown"
"1486","SPATA5","Unknown"
"1487","DLL4","Unknown"
"1488","TAPT1","Unknown"
"1489","GAS8","Unknown"
"1490","RSPRY1","Unknown"
"1491","SLC25A26","Unknown"
"1492","RTN4IP1","Endocrine/Metabolic;Brain/Cognition"
"1493","CEP104","Unknown"
"1494","KITLG","Unknown"
"1495","MFSD2A","Unknown"
"1496","PRDM12","Unknown"
"1497","CRIPT","Unknown"
"1498","D2HGDH","Unknown"
"1499","CNTNAP1","Unknown"
"1500","DSE","Unknown"
"1501","WDR81","Unknown"
"1502","CCDC88C","Unknown"
"1503","NDUFA10","Unknown"
"1504","NDUFA9","Unknown"
"1505","PIGW","Unknown"
"1506","GPX4","Unknown"
"1507","CNOT3","Unknown"
"1508","CSNK2A1","Unknown"
"1509","GNAI1","Unknown"
"1510","KCNQ3","Unknown"
"1511","KDM5B","Brain/Cognition,Brain/Cognition"
"1512","MSL3","Brain/Cognition"
"1513","MYT1L","Unknown"
"1514","PPM1D","Brain/Cognition"
"1515","PUF60","Unknown"
"1516","QRICH1","Face;Brain/Cognition"
"1517","SET","Brain/Cognition"
"1518","KMT5B","Brain/Cognition"
"1519","TCF20","Brain/Cognition"
"1520","ZBTB18","Unknown"
"1521","WAC","Brain/Cognition"
"1522","UNC80","Brain/Cognition"
"1523","CCDC115","Endocrine/Metabolic;GI tract;Brain/Cognition"
"1524","TMEM199","Unknown"
"1525","TANGO2","Musculature;Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1526","TRIP4","Spinal cord/Peripheral nerves;Skeleton;Brain/Cognition"
"1527","ASCC1","Spinal cord/Peripheral nerves;Skeleton;Brain/Cognition"
"1528","DVL3","Skeleton;Face;Genitalia"
"1529","EMC1","Skeleton;Brain/Cognition,Brain/Cognition"
"1530","PIGG","Brain/Cognition"
"1531","GTF2E2","Bone Marrow/Immune;Skin;Brain/Cognition"
"1532","SMG9","Face;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1533","PDE10A","Brain/Cognition"
"1534","TBCK","Musculature;Face;Brain/Cognition"
"1535","GNAQ","Heart/Cardiovasculature/Lymphatic"
"1536","GNA11","Heart/Cardiovasculature/Lymphatic"
"1537","TELO2","Skeleton;Face;Eye;Brain/Cognition;Ear;Heart/Cardiovasculature/Lymphatic"
"1538","RERE","Kidney Renal Tract;Face;Brain/Cognition;Genitalia;Ear;Heart/Cardiovasculature/Lymphatic"
"1539","TRMT10C","Endocrine/Metabolic;Brain/Cognition;Ear"
"1540","GNB1","Brain/Cognition"
"1541","GNB3","Eye"
"1542","PRDM6","Heart/Cardiovasculature/Lymphatic"
"1543","FLAD1","Endocrine/Metabolic;Brain/Cognition"
"1544","SAMD9L","Bone Marrow/Immune;Brain/Cognition"
"1545","TKT","Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1546","BGN","Skeleton,Skeleton;Face;Heart/Cardiovasculature/Lymphatic"
"1547","FRRS1L","Brain/Cognition"
"1548","SMO","Skeleton;Face;Brain/Cognition,Skeleton;Brain/Cognition"
"1549","TFRC","Bone Marrow/Immune"
"1550","FZD5","Eye: Structure"
"1551","COL6A1","Unknown"
"1552","CDC45","Skeleton;Brain/Cognition;Ear"
"1553","SEC61A1","Bone Marrow/Immune;Kidney Renal Tract"
"1554","VAC14","Brain/Cognition"
"1555","TMEM126B","Musculature;Endocrine/Metabolic"
"1556","TSEN15","Brain/Cognition"
"1557","KLHL7","Eye;Brain/Cognition,Unknown"
"1558","POT1","Eye;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1559","CCDC88A","Brain/Cognition"
"1560","PPP1CB","Multisystem;Hair/Nails;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1561","NONO","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1562","ATAD3A","Spinal cord/Peripheral nerves;Endocrine/Metabolic;Eye;Brain/Cognition,Brain/Cognition"
"1563","GORAB","Skin;Skeleton;Brain/Cognition"
"1564","CYP24A1","Kidney Renal Tract;Endocrine/Metabolic"
"1565","UBA5","Brain/Cognition"
"1566","TBX15","Skeleton;Face"
"1567","CHD4","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1568","SH3BP2","Skeleton;Face"
"1569","CDK13","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1570","PRKD1","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1571","KPNA7","Brain/Cognition"
"1572","TLK2","Unknown"
"1573","PPA2","Heart/Cardiovasculature/Lymphatic"
"1574","SMCHD1","Face;Eye: Structure;Eye"
"1575","MYT1","Skeleton;Face;Eye;Ear"
"1576","PKD1L1","Heart/Cardiovasculature/Lymphatic"
"1577","MAP3K7","Face;Skeleton;Ear;Heart/Cardiovasculature/Lymphatic"
"1578","IL11RA","Skeleton;Face;Ear;Teeth and Dentition;Heart/Cardiovasculature/Lymphatic"
"1579","EIF2S3","Brain/Cognition"
"1580","PPP1R15B","Brain/Cognition"
"1581","NCAPD2","Skeleton;Brain/Cognition"
"1582","NCAPD3","Skeleton;Brain/Cognition"
"1583","NCAPH","Brain/Cognition"
"1584","ARCN1","Skeleton;Brain/Cognition"
"1585","PIGY","Unknown"
"1586","HTRA2","Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1587","PIEZO1","Heart/Cardiovasculature/Lymphatic"
"1588","SNORD118","Brain/Cognition"
"1589","OTULIN","Bone Marrow/Immune;Skin;Multisystem;GI tract"
"1590","USP18","Lungs;Skeleton;Multisystem;Brain/Cognition"
"1591","NANS","Skeleton;Brain/Cognition"
"1592","TRIT1","Musculature;Endocrine/Metabolic;Brain/Cognition"
"1593","BRPF1","Face;Brain/Cognition"
"1594","HIVEP2","Brain/Cognition"
"1595","CRIM1","Eye: Structure;Eye"
"1596","HMGB3","Eye: Cornea;Skeleton;Eye: Structure;Brain/Cognition"
"1597","KMT2B","Brain/Cognition"
"1598","SETD1A","Brain/Cognition"
"1599","STAG1","Face;Brain/Cognition"
"1600","SLC1A2","Unknown"
"1601","ELMO2","Skeleton;Heart/Cardiovasculature/Lymphatic"
"1602","IARS1","Bone Marrow/Immune;Musculature;GI tract"
"1603","GNA14","Heart/Cardiovasculature/Lymphatic"
"1604","ODAD4","Lungs;GI tract;Heart/Cardiovasculature/Lymphatic"
"1605","DNAJB13","Lungs;Genitalia"
"1606","CIT","Brain/Cognition"
"1607","SIN3A","Face;Brain/Cognition"
"1608","GNB5","Unknown"
"1609","SON","Skeleton;Brain/Cognition"
"1610","HNRNPH2","Brain/Cognition"
"1611","SLC5A7","Musculature;Peripheral nerves"
"1612","EMG1","Bone Marrow/Immune;Multisystem;Brain/Cognition"
"1613","GRIN2D","Brain/Cognition"
"1614","SLC25A4","Musculature;Brain/Cognition;Heart/Cardiovasculature/Lymphatic,Multisystem"
"1615","NAXE","Skin;Brain/Cognition"
"1616","FGF12","Brain/Cognition"
"1617","EBF3","Face;Brain/Cognition"
"1618","KIDINS220","Endocrine/Metabolic;Eye;Brain/Cognition,Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1619","MBOAT7","Brain/Cognition"
"1620","GLDN","Spinal cord/Peripheral nerves"
"1621","TBCD","Brain/Cognition"
"1622","ASXL2","Face;Brain/Cognition"
"1623","ARID2","Unknown"
"1624","CARS2","Brain/Cognition"
"1625","DLG4","Brain/Cognition"
"1626","HECW2","Brain/Cognition,Unknown"
"1627","MORC2","Unknown"
"1628","TRIP12","Unknown"
"1629","PYROXD1","Musculature"
"1630","SLC6A9","Endocrine/Metabolic;Brain/Cognition"
"1631","TMTC3","Brain/Cognition"
"1632","MECR","Unknown"
"1633","PLPBP","Brain/Cognition"
"1634","CPAMD8","Eye: Structure;Eye: Lens;Eye"
"1635","DENND5A","Brain/Cognition"
"1636","AP3B2","Brain/Cognition;Eye: Optic nerve"
"1637","MDH2","Endocrine/Metabolic;Brain/Cognition"
"1638","DNAAF6","Unknown"
"1639","MYPN","Unknown"
"1640","DNAJC12","Endocrine/Metabolic;Brain/Cognition"
"1641","MYH10","Skeleton;Respiratory tract;Brain/Cognition"
"1642","LRP6","GI tract"
"1643","ACBD5","Eye: Retina;Endocrine/Metabolic;Brain/Cognition"
"1644","INPP5K","Musculature;Skeleton;Eye: Lens;Brain/Cognition"
"1645","PRUNE1","Brain/Cognition"
"1646","H4C3","Face;Brain/Cognition"
"1647","EPB41L1","Brain/Cognition"
"1648","H1-4","Skeleton;Brain/Cognition"
"1649","RAB11B","Brain/Cognition"
"1650","PSMD12","Kidney Renal Tract;Face;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1651","CDH1","Face;GI tract;Eye;Teeth and Dentition"
"1652","CTNND1","Face;GI tract;Eye;Teeth and Dentition"
"1653","AFF3","Skeleton;Brain/Cognition"
"1654","BLTP1","Skeleton;Brain/Cognition"
"1655","BMP2","Unknown"
"1656","THOC6","Kidney Renal Tract;Face;Brain/Cognition"
"1657","DNAH5","Lungs;Liver;Genitalia;Heart/Cardiovasculature/Lymphatic"
"1658","FRMPD4","Brain/Cognition"
"1659","KLHL15","Unknown"
"1660","LAS1L","Brain/Cognition"
"1661","RLIM","Brain/Cognition;Genitalia"
"1662","USP27X","Brain/Cognition"
"1663","CDK16","Brain/Cognition"
"1664","CFAP410","Skeleton;Eye"
"1665","RRM2B","Multisystem;Brain/Cognition"
"1666","ADAMTS18","Skin;Eye: Cornea;Skeleton;Eye: Retina;Eye: Physiology;Eye: Lens"
"1667","CYP27A1","Skeleton;Spinal cord/Peripheral nerves;Eye;Skin;Endocrine/Metabolic;Brain/Cognition;Eye: Lens;Heart/Cardiovasculature/Lymphatic"
"1668","ZNF462","Face;Multisystem;Eye;Brain/Cognition"
"1669","WDR26","Face;Brain/Cognition"
"1670","ARMC9","Eye: Retina;Brain/Cognition"
"1671","CLN5","Eye: Retina;Endocrine/Metabolic;Brain/Cognition"
"1672","CTSD","Eye: Retina;Endocrine/Metabolic;Brain/Cognition"
"1673","GZF1","Skeleton;Eye"
"1674","MAB21L2","Skeleton;Eye;Brain/Cognition,Skeleton;Brain/Cognition;Eye"
"1675","PEX11B","Skeleton;Multisystem;Eye;Brain/Cognition"
"1676","MRPS34","Endocrine/Metabolic;Brain/Cognition"
"1677","UBTF","Brain/Cognition"
"1678","LIPT2","Endocrine/Metabolic;Brain/Cognition"
"1679","TRAPPC12","Brain/Cognition"
"1680","YWHAG","Brain/Cognition"
"1681","LIAS","Endocrine/Metabolic;Brain/Cognition"
"1682","LIPT1","Endocrine/Metabolic;Brain/Cognition"
"1683","KCNQ5","Brain/Cognition,Unknown"
"1684","MYLK","Kidney Renal Tract;GI tract"
"1685","NKX6-2","Brain/Cognition"
"1686","PLAA","Brain/Cognition"
"1687","EED","Unknown"
"1688","PPT1","Endocrine/Metabolic;Brain/Cognition;Eye"
"1689","SLC45A1","Brain/Cognition"
"1690","CWC27","Skeleton;Eye;Brain/Cognition"
"1691","LGI4","Skeleton;Peripheral nerves"
"1692","TMEM260","Kidney Renal Tract;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1693","OTUD6B","Skeleton;Brain/Cognition"
"1694","RPS23","Face;Brain/Cognition;Ear"
"1695","TAF13","Brain/Cognition"
"1696","NACC1","Eye;Brain/Cognition"
"1697","TRIP13","Kidney Renal Tract;Skeleton;Brain/Cognition"
"1698","DCC","Brain/Cognition"
"1699","ABL1","Skeleton;Heart/Cardiovasculature/Lymphatic"
"1700","TOE1","Brain/Cognition"
"1701","TRNT1","Bone Marrow/Immune;Eye: Retina;Brain/Cognition"
"1702","SUOX","Unknown"
"1703","SLC52A2","Multisystem;Eye;Brain/Cognition;Ear"
"1704","KDM1A","Face;Brain/Cognition"
"1705","COLEC10","Kidney Renal Tract;Face;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1706","DHRS3","Skeleton;Face;Brain/Cognition"
"1707","TUBG1","Brain/Cognition"
"1708","CANT1","Skeleton"
"1709","CDK10","Skeleton;Brain/Cognition;Ear"
"1710","TBC1D23","Brain/Cognition"
"1711","RAC1","Endocrine/Metabolic;Brain/Cognition;Genitalia"
"1712","PACS2","Brain/Cognition"
"1713","BPTF","Face;Brain/Cognition"
"1714","PPP3CA","Brain/Cognition"
"1715","C1QBP","Musculature;Liver;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1716","SUFU","Face;Brain/Cognition,Unknown"
"1717","CLTC","Brain/Cognition"
"1718","NTRK2","Unknown"
"1719","NUS1","Brain/Cognition"
"1720","RAB11A","Brain/Cognition"
"1721","GABRB2","Brain/Cognition"
"1722","SNAP25","Brain/Cognition"
"1723","DHDDS","Brain/Cognition"
"1724","DHX30","Brain/Cognition"
"1725","CAMK2A","Brain/Cognition"
"1726","CAMK2B","Brain/Cognition"
"1727","SLC25A24","Skin;Hair/Nails;Eye"
"1728","FN1","Skeleton"
"1729","GPAA1","Skeleton;Brain/Cognition"
"1730","OSGEP","Kidney Renal Tract;Brain/Cognition"
"1731","NADK2","Endocrine/Metabolic;Brain/Cognition"
"1732","TBC1D20","Unknown"
"1733","CAD","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition"
"1734","SRP54","Bone Marrow/Immune;Multisystem;GI tract;Brain/Cognition"
"1735","RPL11","Unknown"
"1736","EDAR","Unknown,Unknown"
"1737","CUX2","Unknown"
"1738","SETD2","Skeleton;Endocrine/Metabolic;Brain/Cognition,Brain/Cognition"
"1739","MSI1","Unknown"
"1740","PIGM","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1741","PRR12","Eye;Brain/Cognition"
"1742","PGAP1","Endocrine/Metabolic;Brain/Cognition"
"1743","DPF2","Skeleton;Hair/Nails;Brain/Cognition"
"1744","CHD3","Face;Brain/Cognition"
"1745","H4C11","Unknown"
"1746","KMT2C","Unknown"
"1747","H3-3A","Face;Brain/Cognition,Unknown"
"1748","RORA","Brain/Cognition"
"1749","DDX6","Brain/Cognition"
"1750","NOVA2","Brain/Cognition"
"1751","OTUD7A","Brain/Cognition"
"1752","GAN","Skin;Skeleton;Brain/Cognition;Hair/Nails"
"1753","SLC37A4","Bone Marrow/Immune;Skin;Kidney Renal Tract;Skeleton;Endocrine/Metabolic;GI tract;Eye,Unknown"
"1754","LIFR","Skeleton;GI tract;Eye;Musculature;Skin;Face;Endocrine/Metabolic;Ear;Teeth and Dentition;Heart/Cardiovasculature/Lymphatic"
"1755","CTNNA2","Brain/Cognition"
"1756","MYF5","Musculature;Skeleton;Eye"
"1757","UFM1","Brain/Cognition"
"1758","UFC1","Brain/Cognition"
"1759","STAG2","Brain/Cognition;Ear"
"1760","STN1","Multisystem;GI tract;Eye;Brain/Cognition"
"1761","PCYT2","Skeleton;Multisystem;Eye;Brain/Cognition"
"1762","SELENOI","Spinal cord/Peripheral nerves;Brain/Cognition"
"1763","RSPO2","Skeleton;Respiratory tract"
"1764","SMAD6","Skeleton"
"1765","EPHB4","Skin;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1766","CRKL","Kidney Renal Tract;Genitalia"
"1767","MYH11","Kidney Renal Tract;GI tract"
"1768","CENPF","Multisystem;GI tract;Eye;Brain/Cognition"
"1769","KMT2E","Skeleton;Brain/Cognition"
"1770","SLC10A7","Skeleton;Teeth and Dentition"
"1771","KCNK4","Skin;Brain/Cognition,Skin;Brain/Cognition"
"1772","TMX2","Brain/Cognition"
"1773","RAC3","Brain/Cognition"
"1774","LZTR1","Brain/Cognition;Heart/Cardiovasculature/Lymphatic,Heart/Cardiovasculature/Lymphatic"
"1775","POLE","Bone Marrow/Immune;Endocrine;Skeleton;Face;Multisystem"
"1776","CACNA1E","Brain/Cognition"
"1777","LRRC56","Respiratory tract;Heart/Cardiovasculature/Lymphatic"
"1778","MAB21L1","Eye: Cornea;Face;Eye: Physiology;Eye;Brain/Cognition;Genitalia"
"1779","SAMD9","Bone Marrow/Immune;Endocrine;Multisystem;GI tract;Genitalia"
"1780","NAXD","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1781","PHACTR1","Brain/Cognition"
"1782","FARS2","Brain/Cognition"
"1783","KCNJ8","Skin;Skeleton;Face;Hair/Nails;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1784","RHOBTB2","Brain/Cognition"
"1785","FUT8","Bone Marrow/Immune;Endocrine/Metabolic"
"1786","ATP6V1E1","Skin;Heart/Cardiovasculature/Lymphatic"
"1787","ATP6V1A","Skin;Heart/Cardiovasculature/Lymphatic,Brain/Cognition"
"1788","EXTL3","Bone Marrow/Immune;Brain/Cognition"
"1789","CNPY3","Brain/Cognition"
"1790","NDUFB8","Endocrine/Metabolic;Brain/Cognition"
"1791","ATP5F1D","Endocrine/Metabolic"
"1792","EPRS1","Brain/Cognition"
"1793","MRPS2","Endocrine/Metabolic;Brain/Cognition;Ear"
"1794","PMPCB","Endocrine/Metabolic;Brain/Cognition"
"1795","EXOSC9","Skeleton;Peripheral nerves;Brain/Cognition"
"1796","CFAP300","Lungs;Heart/Cardiovasculature/Lymphatic"
"1797","SIM1","Endocrine/Metabolic;Brain/Cognition"
"1798","SEPSECS","Brain/Cognition"
"1799","VPS53","Brain/Cognition"
"1800","SPTBN2","Brain/Cognition,Unknown"
"1801","TRPV6","Skeleton"
"1802","FDFT1","Face;Brain/Cognition"
"1803","WASF1","Brain/Cognition"
"1804","TRAF7","Multisystem;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1805","NPR3","Endocrine;Skeleton"
"1806","LNPK","Brain/Cognition"
"1807","RMI1","Skin;Brain/Cognition"
"1808","TOP3A","Skin;Brain/Cognition"
"1809","FBXO11","Brain/Cognition"
"1810","IRF2BPL","Brain/Cognition"
"1811","CCNK","Face;Brain/Cognition"
"1812","NDUFA6","Endocrine/Metabolic;Brain/Cognition"
"1813","PIGS","Brain/Cognition"
"1814","ARL3","Brain/Cognition"
"1815","PAK1","Brain/Cognition"
"1816","CCDC47","GI tract;Brain/Cognition"
"1817","ATP1A1","Endocrine/Metabolic;Brain/Cognition"
"1818","ADPRS","Peripheral nerves;Brain/Cognition"
"1819","NFIB","Brain/Cognition"
"1820","POLR3A","Skeleton;Brain/Cognition;Genitalia;Teeth and Dentition"
"1821","DNAH9","Respiratory tract;Heart/Cardiovasculature/Lymphatic"
"1822","MACF1","Brain/Cognition"
"1823","FCSK","Brain/Cognition"
"1824","PUS7","Brain/Cognition"
"1825","TMEM94","Face;Brain/Cognition"
"1826","ADAMTS9","Kidney Renal Tract"
"1827","SMARCC2","Brain/Cognition"
"1828","NCAPG2","Brain/Cognition"
"1829","RNF13","Brain/Cognition"
"1830","PPP2CA","Brain/Cognition"
"1831","ZMIZ1","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1832","MAPK8IP3","Brain/Cognition"
"1833","GAS2L2","Respiratory tract"
"1834","SOX4","Face;Brain/Cognition"
"1835","DHPS","Brain/Cognition"
"1836","CARS1","Hair/Nails;Brain/Cognition"
"1837","TRRAP","Brain/Cognition"
"1838","ATN1","Brain/Cognition"
"1839","SUZ12","Skeleton;Brain/Cognition"
"1840","MED13","Brain/Cognition"
"1841","NBEA","Brain/Cognition"
"1842","HNRNPK","Kidney Renal Tract;Face;Multisystem;Eye;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1843","KDM3B","Skeleton;Face;Brain/Cognition"
"1844","BRD4","Bone Marrow/Immune;Skeleton;Brain/Cognition"
"1845","EIF3F","Brain/Cognition;Ear"
